 spec_symbol , wgt , Genus , species , Taxa 
 DM , 40 , Dipodomys , merriami , Rodent 
 DM , 48 , Dipodomys , merriami , Rodent 
 DM , 29 , Dipodomys , merriami , Rodent 
 DM , 46 , Dipodomys , merriami , Rodent 
 DM , 36 , Dipodomys , merriami , Rodent 
 DO , 52 , Dipodomys , ordii , Rodent 
 PF , 8 , Perognathus , flavus , Rodent 
 OX , 22 , Onychomys , sp. , Rodent 
 DM , 35 , Dipodomys , merriami , Rodent 
 PF , 7 , Perognathus , flavus , Rodent 
 DM , 22 , Dipodomys , merriami , Rodent 
 PF , 9 , Perognathus , flavus , Rodent 
 DM , 42 , Dipodomys , merriami , Rodent 
 PF , 8 , Perognathus , flavus , Rodent 
 DM , 41 , Dipodomys , merriami , Rodent 
 DM , 37 , Dipodomys , merriami , Rodent 
 DM , 43 , Dipodomys , merriami , Rodent 
 DM , 41 , Dipodomys , merriami , Rodent 
 DM , 40 , Dipodomys , merriami , Rodent 
 PF , 9 , Perognathus , flavus , Rodent 
 DM , 45 , Dipodomys , merriami , Rodent 
 PP , 15 , Chaetodipus , penicillatus , Rodent 
 DM , 29 , Dipodomys , merriami , Rodent 
 DM , 39 , Dipodomys , merriami , Rodent 
 DM , 42 , Dipodomys , merriami , Rodent 
 DM , 43 , Dipodomys , merriami , Rodent 
 DM , 46 , Dipodomys , merriami , Rodent 
 DM , 41 , Dipodomys , merriami , Rodent 
 DM , 41 , Dipodomys , merriami , Rodent 
 DM , 40 , Dipodomys , merriami , Rodent 
 DM , 45 , Dipodomys , merriami , Rodent 
 DM , 46 , Dipodomys , merriami , Rodent 
 DM , 40 , Dipodomys , merriami , Rodent 
 DM , 30 , Dipodomys , merriami , Rodent 
 DM , 39 , Dipodomys , merriami , Rodent 
 DM , 34 , Dipodomys , merriami , Rodent 
 DM , 42 , Dipodomys , merriami , Rodent 
 DM , 42 , Dipodomys , merriami , Rodent 
 PF , 8 , Perognathus , flavus , Rodent 
 DM , 31 , Dipodomys , merriami , Rodent 
 DM , 40 , Dipodomys , merriami , Rodent 
 DM , 37 , Dipodomys , merriami , Rodent 
 DM , 48 , Dipodomys , merriami , Rodent 
 DM , 42 , Dipodomys , merriami , Rodent 
 DM , 45 , Dipodomys , merriami , Rodent 
 PP , 16 , Chaetodipus , penicillatus , Rodent 
 DM , 36 , Dipodomys , merriami , Rodent 
 DM , 42 , Dipodomys , merriami , Rodent 
 DM , 44 , Dipodomys , merriami , Rodent 
 DM , 41 , Dipodomys , merriami , Rodent 
 PF , 8 , Perognathus , flavus , Rodent 
 DM , 40 , Dipodomys , merriami , Rodent 
 DM , 34 , Dipodomys , merriami , Rodent 
 DM , 40 , Dipodomys , merriami , Rodent 
 OX , 20 , Onychomys , sp. , Rodent 
 DM , 44 , Dipodomys , merriami , Rodent 
 DM , 44 , Dipodomys , merriami , Rodent 
 DM , 36 , Dipodomys , merriami , Rodent 
 DM , 33 , Dipodomys , merriami , Rodent 
 DM , 46 , Dipodomys , merriami , Rodent 
 DM , 35 , Dipodomys , merriami , Rodent 
 DM , 46 , Dipodomys , merriami , Rodent 
 DM , 37 , Dipodomys , merriami , Rodent 
 DM , 34 , Dipodomys , merriami , Rodent 
